"","Connectivity","P_Value"
"etofenamate",0.577545,0.220055746857255
"F0447-0125",0.573945,0.370293198679396
"pyrithyldione",0.573295,0.0835101065431056
"ciclosporin",0.57259,0.121088063360078
"carbachol",0.567895,0.272369593475888
"diphemanil metilsulfate",0.567855,0.382018209494322
"decitabine",0.56703,0.138126428510258
"alvespimycin",0.566825,0.44553590613836
"ribostamycin",0.562375,0.308900251474201
"cycloserine",0.56139,0.18180320640491
"alcuronium chloride",0.56053,0.366902417075854
"semustine",0.560465,0.499314690530038
"bucladesine",0.55844,0.302954206115951
"epivincamine",0.5576,0.0644193951514616
"isoconazole",0.55661,0.302279632164625
"primaquine",0.554915,0.245627079286735
"oxyphenbutazone",0.554915,0.14927473264923
"cyclopenthiazide",0.554795,0.169501652785465
"pilocarpine",0.554075,0.157748678042702
"dacarbazine",0.55299,0.32196442802815
"lobelanidine",0.551455,0.321327841638013
"florfenicol",0.549275,0.316539164278231
"alprenolol",0.54843,0.314433356689596
"merbromin",0.547575,0.168091823051499
"androsterone",0.546945,0.311095969342789
"adiphenine",0.546855,0.168251778073169
"niclosamide",0.54564,0.492685707398308
"HC toxin",0.5451,0.527311822454252
"geldanamycin",0.54424,0.568892805434075
"ethotoin",0.543145,0.314705659845212
"heliotrine",0.542835,0.057205664573683
"tacrolimus",0.54167,0.317164396572254
"ronidazole",0.540555,0.0908841632798638
"clotrimazole",0.539635,0.319174341000036
"(-)-MK-801",0.53909,0.198062494236382
"natamycin",0.53778,0.364957688706222
"mephentermine",0.536945,0.317067043539143
"caffeic acid",0.536725,0.350013504728601
"propoxycaine",0.536595,0.227925940271941
"succinylsulfathiazole",0.534525,0.2385287885056
"lithocholic acid",0.533945,0.175670302757782
"Prestwick-665",0.533355,0.337667035699434
"seneciphylline",0.531925,0.321555884053267
"5253409",0.53165,0.0830033788495685
"phenazone",0.531475,0.426706503031903
"sulfadimidine",0.53011,0.158424192458472
"prasterone",0.529375,0.460363226119711
"mianserin",0.5287,0.390876616847912
"epiandrosterone",0.52848,0.229260979540514
"sulfathiazole",0.52763,0.324995312519857
"(+)-chelidonine",0.5236,0.254130750913012
"isoflupredone",0.52171,0.38800917294208
"tetraethylenepentamine",0.520405,0.684792767720557
"salsolinol",0.518955,0.23050633564234
"sulfametoxydiazine",0.518325,0.297876805156944
"vigabatrin",0.518255,0.368873429204897
"guanfacine",0.516815,0.355242292540489
"pizotifen",0.516435,0.314942462405449
"spiperone",0.51637,0.611409648588944
"chloramphenicol",0.515925,0.334501283783105
"Prestwick-682",0.51578,0.492209415806856
"sotalol",0.515075,0.452432450688305
"metacycline",0.512935,0.320475484006416
"sulfacetamide",0.51265,0.436953159664695
"molindone",0.51255,0.448021760553414
"clioquinol",0.512035,0.308902684369913
"minaprine",0.51051,0.405855973691146
"0198306-0000",0.50812,0.525813910072677
"STOCK1N-35696",0.50808,0.690115081663667
"PF-00562151-00",0.50559,0.452438168364462
"remoxipride",0.504945,0.455910775466511
"docosahexaenoic acid ethyl ester",0.50205,0.45789482227898
"meprylcaine",0.50132,0.267370998278391
"Prestwick-1084",0.50094,0.456432148442316
"sulfaquinoxaline",0.49934,0.557955148980063
"prenylamine",0.49925,0.570953816863103
"promethazine",0.49467,0.373711855558274
"diethylstilbestrol",0.494405,0.405575601905429
"pentolonium",0.494,0.277644653837397
"Chicago Sky Blue 6B",0.493355,0.31188339946423
"daunorubicin",0.491295,0.454771398263922
"naltrexone",0.49027,0.55926938310388
"copper sulfate",0.48591,0.643643735039694
"flunisolide",0.485865,0.376633200352738
"arcaine",0.48571,0.59657012453157
"benfluorex",0.48546,0.550114272827998
"carisoprodol",0.48546,0.450221014052896
"decamethonium bromide",0.485265,0.525131711315615
"nafcillin",0.48364,0.567786593350007
"oxamniquine",0.483495,0.533001204265384
"octopamine",0.482275,0.477995550517741
"etomidate",0.48186,0.456767768251119
"deptropine",0.48174,0.581140552094787
"sulfafurazole",0.48118,0.482005627080576
"furaltadone",0.48028,0.342296433811423
"pentoxyverine",0.47895,0.519201889165098
"butirosin",0.47863,0.475728960257347
"erythromycin",0.476445,0.409081809443549
"harmaline",0.475895,0.411501388758268
"mephenytoin",0.47354,0.567385458134405
"5286656",0.4727,0.627863257052891
"trimipramine",0.472125,0.702970005252632
"mebeverine",0.472075,0.437943778035987
"eticlopride",0.4713,0.536593607037621
"tolazamide",0.47092,0.490243258728235
"roxarsone",0.470205,0.448174520534322
"coralyne",0.469075,0.434567997732882
"ticarcillin",0.468745,0.534498407269705
"bemegride",0.467855,0.583313581563756
"ramifenazone",0.467215,0.528050668403052
"mometasone",0.467155,0.570457013387155
"clemastine",0.467,0.611450957969763
"delsoline",0.46699,0.676476979049359
"methylbenzethonium chloride",0.4668,0.706795284866456
"bromperidol",0.46666,0.308405576573933
"sulfamonomethoxine",0.466585,0.198288653704323
"isoniazid",0.466525,0.516176965172263
"risperidone",0.46278,0.613320107911422
"sulfadoxine",0.46184,0.270690990825953
"staurosporine",0.46144,0.607279807907322
"N-acetyl-L-leucine",0.458515,0.648420445510136
"SR-95639A",0.457015,0.672320449565885
"probucol",0.45612,0.572743030392257
"carbimazole",0.45556,0.655208879273389
"rosiglitazone",0.454645,0.650746751372069
"cefmetazole",0.45238,0.476764710481624
"pralidoxime",0.451855,0.626316277606845
"tridihexethyl",0.45152,0.383170619294411
"ifenprodil",0.44987,0.471604644412718
"boldine",0.44932,0.755182466127313
"benzonatate",0.449265,0.502413522678761
"mexiletine",0.44904,0.404653781157853
"pararosaniline",0.44609,0.744496970512683
"carbenoxolone",0.44339,0.5794496124729
"imidurea",0.441935,0.639234926908563
"5151277",0.437415,0.270491161389769
"nalbuphine",0.43575,0.649856098288031
"amantadine",0.435165,0.655293802715566
"hexetidine",0.430475,0.736924228406585
"cefapirin",0.42992,0.550344839677517
"N-acetyl-L-aspartic acid",0.4297,0.664823130394194
"1,4-chrysenequinone",0.42816,0.718354976978438
"sulfamerazine",0.42802,0.788584356402256
"diclofenamide",0.426925,0.700758755080768
"gabapentin",0.426715,0.47124281811648
"iohexol",0.426605,0.748268710111333
"galantamine",0.423335,0.713634534677909
"hydroquinine",0.422635,0.61779487481906
"spaglumic acid",0.418405,0.765418009007536
"nystatin",0.417645,0.697776740945726
"mepenzolate bromide",0.41635,0.489865189902031
"fasudil",0.41589,0.853021597121014
"tetryzoline",0.415475,0.844664775987028
"bicuculline",0.412285,0.540641092827741
"riboflavin",0.40971,0.771339405577725
"iopromide",0.40924,0.785305545715266
"sparteine",0.40898,0.803679125300594
"mefenamic acid",0.40842,0.733200901828951
"ofloxacin",0.406385,0.770535176910118
"hydrochlorothiazide",0.405345,0.835495535208387
"benfotiamine",0.403925,0.741173005053536
"sitosterol",0.403525,0.689947791885468
"diloxanide",0.40337,0.730159059638861
"anabasine",0.40154,0.81920638832559
"betahistine",0.40107,0.835838721353768
"sulpiride",0.39947,0.778618448654464
"dexpanthenol",0.39695,0.629738696005388
"nifuroxazide",0.395895,0.78976098042199
"naloxone",0.394615,0.497489407334264
"corbadrine",0.392685,0.707716240394748
"diclofenac",0.389965,0.849178882172553
"cyclobenzaprine",0.389255,0.854078603797902
"Prestwick-692",0.38855,0.72051138632152
"CP-863187",0.387595,0.693490325773365
"phenacetin",0.383815,0.764158061088582
"6-bromoindirubin-3'-oxime",0.383785,0.893828237088221
"liothyronine",0.381675,0.917367519441096
"pentetic acid",0.377565,0.79619988566504
"adrenosterone",0.376425,0.803431172002155
"PNU-0251126",0.3761,0.933225412322807
"tomatidine",0.37393,0.939673420382175
"piracetam",0.37345,0.951975179998538
"piromidic acid",0.369315,0.635431045284428
"harman",0.36841,0.840303562024123
"etiocholanolone",0.36631,0.788256744688513
"tetrahydroalstonine",0.36499,0.927239464023482
"gliquidone",0.364115,0.868331911539092
"benzathine benzylpenicillin",0.360035,0.928360407950717
"simvastatin",0.35982,0.926383175010154
"pyridoxine",0.359455,0.531947465262119
"mepyramine",0.356205,0.945587619658303
"naringin",0.35418,0.913310090576993
"levopropoxyphene",0.35399,0.914156415043051
"ondansetron",0.35267,0.928899696186717
"acebutolol",0.35248,0.92662890022365
"dicoumarol",0.35061,0.913160623374407
"serotonin",0.343525,0.852468567161205
"pridinol",0.342855,0.901120444137886
"loracarbef",0.342565,0.920982502853755
"ouabain",0.34184,0.968870386507609
"altretamine",0.33739,0.846573590279973
"sisomicin",0.33389,0.82532294347885
"CP-944629",0.33288,0.969232722467629
"gentamicin",0.327735,0.951480718870915
"esculetin",0.3274,0.942819964792943
"tubocurarine chloride",0.32628,0.985024389896821
"15(S)-15-methylprostaglandin E2",0.323245,0.97379986025283
"ketorolac",0.322755,0.961295867320835
"isocarboxazid",0.32158,0.82530570777111
"gabexate",0.32001,0.915488142724298
"clorgiline",0.319975,0.980195774663475
"chlorphenesin",0.314335,0.927953306693091
"scopolamine N-oxide",0.311045,0.950296413502121
"griseofulvin",0.306965,0.987143701006052
"apramycin",0.305705,0.941259720173289
"aconitine",0.30457,0.944232319468947
"ioversol",0.301885,0.946032826962108
"metronidazole",0.301575,0.971494865988539
"tiletamine",0.28474,0.99050701321957
"PHA-00846566E",0.281595,0.981338637195719
"phensuximide",0.27164,0.99823515214281
"lymecycline",0.264455,0.999798653171169
"metformin",0,1
"phenformin",0,1
"valproic acid",0,1
"estradiol",0,1
"dexamethasone",0,1
"mesalazine",0,1
"sulindac",0,1
"sulfasalazine",0,1
"TTNPB",0,1
"tretinoin",0,1
"indometacin",0,1
"clofibrate",0,1
"MK-886",0,1
"prednisolone",0,1
"genistein",0,1
"fludrocortisone",0,1
"quercetin",0,1
"monastrol",0,1
"NU-1025",0,1
"acetylsalicylic acid",0,1
"flufenamic acid",0,1
"trichostatin A",0,1
"mercaptopurine",0,1
"nifedipine",0,1
"nitrendipine",0,1
"novobiocin",0,1
"imatinib",0,1
"pirinixic acid",0,1
"cobalt chloride",0,1
"clozapine",0,1
"haloperidol",0,1
"chlorpromazine",0,1
"iloprost",0,1
"arachidonic acid",0,1
"prochlorperazine",0,1
"quinpirole",0,1
"calmidazolium",0,1
"4,5-dianilinophthalimide",0,1
"butein",0,1
"resveratrol",0,1
"nocodazole",0,1
"pentamidine",0,1
"paclitaxel",0,1
"rottlerin",0,1
"5252917",0,1
"Y-27632",0,1
"5248896",0,1
"5224221",0,1
"5230742",0,1
"ikarugamycin",0,1
"5182598",0,1
"ionomycin",0,1
"5186223",0,1
"5149715",0,1
"5162773",0,1
"5186324",0,1
"5114445",0,1
"5109870",0,1
"topiramate",0,1
"vorinostat",0,1
"(-)-catechin",0,1
"12,13-EODE",0,1
"3-hydroxy-DL-kynurenine",0,1
"doxycycline",0,1
"tyrphostin AG-825",0,1
"DL-PPMP",0,1
"cytochalasin B",0,1
"minocycline",0,1
"phentolamine",0,1
"tyrphostin AG-1478",0,1
"procainamide",0,1
"zoxazolamine",0,1
"N6-methyladenosine",0,1
"chlorprothixene",0,1
"cefalexin",0,1
"bepridil",0,1
"ritodrine",0,1
"dextromethorphan",0,1
"buspirone",0,1
"ketoconazole",0,1
"bisoprolol",0,1
"benzbromarone",0,1
"clebopride",0,1
"fusidic acid",0,1
"hesperidin",0,1
"testosterone",0,1
"suloctidil",0,1
"domperidone",0,1
"arecoline",0,1
"anisomycin",0,1
"fusaric acid",0,1
"cefixime",0,1
"calcium pantothenate",0,1
"levothyroxine sodium",0,1
"SR-95531",0,1
"lumicolchicine",0,1
"metrizamide",0,1
"cefotetan",0,1
"dl-alpha tocopherol",0,1
"apigenin",0,1
"7-aminocephalosporanic acid",0,1
"cefadroxil",0,1
"lysergol",0,1
"N-acetylmuramic acid",0,1
"piperine",0,1
"pepstatin",0,1
"mebhydrolin",0,1
"myricetin",0,1
"buflomedil",0,1
"carteolol",0,1
"naringenin",0,1
"betulinic acid",0,1
"astemizole",0,1
"ivermectin",0,1
"diazoxide",0,1
"clindamycin",0,1
"acetylsalicylsalicylic acid",0,1
"nomifensine",0,1
"terfenadine",0,1
"neomycin",0,1
"dizocilpine",0,1
"picotamide",0,1
"pirenzepine",0,1
"cefotaxime",0,1
"dihydrostreptomycin",0,1
"acenocoumarol",0,1
"tetracycline",0,1
"ampyrone",0,1
"ranitidine",0,1
"piroxicam",0,1
"norfloxacin",0,1
"etodolac",0,1
"levamisole",0,1
"pyrantel",0,1
"chlorzoxazone",0,1
"tranylcypromine",0,1
"pargyline",0,1
"oxolinic acid",0,1
"fenspiride",0,1
"xylometazoline",0,1
"hyoscyamine",0,1
"alverine",0,1
"nimesulide",0,1
"flumequine",0,1
"gemfibrozil",0,1
"oxymetazoline",0,1
"ethosuximide",0,1
"aztreonam",0,1
"hydrastinine",0,1
"mefexamide",0,1
"mafenide",0,1
"cloxacillin",0,1
"troleandomycin",0,1
"naphazoline",0,1
"cinchocaine",0,1
"doxylamine",0,1
"oxybuprocaine",0,1
"miconazole",0,1
"prednisone",0,1
"amprolium",0,1
"idoxuridine",0,1
"ethambutol",0,1
"hexamethonium bromide",0,1
"dicycloverine",0,1
"isoxsuprine",0,1
"captopril",0,1
"diflunisal",0,1
"sulfaguanidine",0,1
"minoxidil",0,1
"4-hydroxyphenazone",0,1
"lidocaine",0,1
"tolazoline",0,1
"tolnaftate",0,1
"trimethobenzamide",0,1
"khellin",0,1
"apomorphine",0,1
"cotinine",0,1
"zimeldine",0,1
"amoxapine",0,1
"metolazone",0,1
"loxapine",0,1
"edrophonium chloride",0,1
"ciprofloxacin",0,1
"dehydrocholic acid",0,1
"hydroxyzine",0,1
"chlorhexidine",0,1
"midecamycin",0,1
"moroxydine",0,1
"ampicillin",0,1
"hesperetin",0,1
"josamycin",0,1
"lynestrenol",0,1
"danazol",0,1
"guanabenz",0,1
"lisuride",0,1
"glibenclamide",0,1
"albendazole",0,1
"labetalol",0,1
"oxybutynin",0,1
"benzydamine",0,1
"oxytetracycline",0,1
"clonidine",0,1
"antazoline",0,1
"vinpocetine",0,1
"cinnarizine",0,1
"fipexide",0,1
"pimozide",0,1
"bupropion",0,1
"etacrynic acid",0,1
"clomipramine",0,1
"methylprednisolone",0,1
"mifepristone",0,1
"sulfinpyrazone",0,1
"diperodon",0,1
"streptomycin",0,1
"tremorine",0,1
"chlortalidone",0,1
"bambuterol",0,1
"terbutaline",0,1
"alfuzosin",0,1
"practolol",0,1
"methapyrilene",0,1
"dobutamine",0,1
"betamethasone",0,1
"debrisoquine",0,1
"betaxolol",0,1
"ketanserin",0,1
"desipramine",0,1
"enoxacin",0,1
"methotrexate",0,1
"nicardipine",0,1
"clopamide",0,1
"methylergometrine",0,1
"ascorbic acid",0,1
"zaprinast",0,1
"clenbuterol",0,1
"hycanthone",0,1
"brinzolamide",0,1
"metitepine",0,1
"methyldopa",0,1
"chlormezanone",0,1
"maprotiline",0,1
"clofazimine",0,1
"vanoxerine",0,1
"etoposide",0,1
"cefoperazone",0,1
"8-azaguanine",0,1
"sulfaphenazole",0,1
"procaine",0,1
"metrifonate",0,1
"morantel",0,1
"moxisylyte",0,1
"homatropine",0,1
"acetazolamide",0,1
"sulfadiazine",0,1
"betazole",0,1
"triamterene",0,1
"isoxicam",0,1
"atracurium besilate",0,1
"heptaminol",0,1
"thiamphenicol",0,1
"naproxen",0,1
"acetohexamide",0,1
"diphenhydramine",0,1
"dosulepin",0,1
"budesonide",0,1
"chloroquine",0,1
"propafenone",0,1
"thiocolchicoside",0,1
"iobenguane",0,1
"etamivan",0,1
"cyclizine",0,1
"clorsulon",0,1
"hydrastine hydrochloride",0,1
"thiamine",0,1
"raubasine",0,1
"ajmaline",0,1
"dipivefrine",0,1
"noscapine",0,1
"piperlongumine",0,1
"ellipticine",0,1
"atropine",0,1
"physostigmine",0,1
"acepromazine",0,1
"berberine",0,1
"convolamine",0,1
"cinchonidine",0,1
"racecadotril",0,1
"isocorydine",0,1
"vinburnine",0,1
"quipazine",0,1
"canrenoic acid",0,1
"ursolic acid",0,1
"methocarbamol",0,1
"aceclofenac",0,1
"retrorsine",0,1
"rescinnamine",0,1
"xylazine",0,1
"conessine",0,1
"co-dergocrine mesilate",0,1
"palmatine",0,1
"canavanine",0,1
"protoveratrine A",0,1
"trimethylcolchicinic acid",0,1
"yohimbic acid",0,1
"quinisocaine",0,1
"solanine",0,1
"glimepiride",0,1
"vitexin",0,1
"dydrogesterone",0,1
"hydroxyachillin",0,1
"sulfabenzamide",0,1
"Prestwick-642",0,1
"gelsemine",0,1
"canadine",0,1
"benzocaine",0,1
"promazine",0,1
"metamizole sodium",0,1
"Prestwick-664",0,1
"Prestwick-674",0,1
"isosorbide",0,1
"fludroxycortide",0,1
"Prestwick-675",0,1
"Prestwick-685",0,1
"sulfachlorpyridazine",0,1
"helveticoside",0,1
"beta-escin",0,1
"lycorine",0,1
"myosmine",0,1
"foliosidine",0,1
"gossypol",0,1
"karakoline",0,1
"diphenylpyraline",0,1
"finasteride",0,1
"betonicine",0,1
"tiapride",0,1
"dilazep",0,1
"riluzole",0,1
"sulfamethoxazole",0,1
"nalidixic acid",0,1
"metaraminol",0,1
"mebendazole",0,1
"clemizole",0,1
"mephenesin",0,1
"salbutamol",0,1
"trimethoprim",0,1
"fenbufen",0,1
"tropicamide",0,1
"lomefloxacin",0,1
"6-benzylaminopurine",0,1
"prilocaine",0,1
"metoclopramide",0,1
"ketoprofen",0,1
"orphenadrine",0,1
"phenelzine",0,1
"camptothecin",0,1
"indapamide",0,1
"ethisterone",0,1
"flutamide",0,1
"fenbendazole",0,1
"proglumide",0,1
"fenoterol",0,1
"trazodone",0,1
"bufexamac",0,1
"cortisone",0,1
"homochlorcyclizine",0,1
"glafenine",0,1
"telenzepine",0,1
"nortriptyline",0,1
"dyclonine",0,1
"diethylcarbamazine",0,1
"pimethixene",0,1
"econazole",0,1
"dropropizine",0,1
"niflumic acid",0,1
"dimenhydrinate",0,1
"fenofibrate",0,1
"pergolide",0,1
"pinacidil",0,1
"isotretinoin",0,1
"disopyramide",0,1
"perhexiline",0,1
"acemetacin",0,1
"progesterone",0,1
"biotin",0,1
"velnacrine",0,1
"neostigmine bromide",0,1
"amiodarone",0,1
"colecalciferol",0,1
"menadione",0,1
"niridazole",0,1
"cisapride",0,1
"dicloxacillin",0,1
"ceforanide",0,1
"puromycin",0,1
"metixene",0,1
"fluoxetine",0,1
"pirenperone",0,1
"ciclopirox",0,1
"cefotiam",0,1
"nitrofural",0,1
"biperiden",0,1
"thiostrepton",0,1
"salsolidin",0,1
"probenecid",0,1
"selegiline",0,1
"omeprazole",0,1
"cetirizine",0,1
"norcyclobenzaprine",0,1
"benperidol",0,1
"etifenin",0,1
"pyrazinamide",0,1
"tiabendazole",0,1
"atovaquone",0,1
"cefaclor",0,1
"terconazole",0,1
"orciprenaline",0,1
"tetramisole",0,1
"colistin",0,1
"tiaprofenic acid",0,1
"lovastatin",0,1
"ethionamide",0,1
"R-atenolol",0,1
"pregnenolone",0,1
"vancomycin",0,1
"tenoxicam",0,1
"suxibuzone",0,1
"skimmianine",0,1
"ricinine",0,1
"estropipate",0,1
"benzethonium chloride",0,1
"fluorometholone",0,1
"trioxysalen",0,1
"abamectin",0,1
"fluorocurarine",0,1
"napelline",0,1
"cefuroxime",0,1
"terazosin",0,1
"butamben",0,1
"alclometasone",0,1
"streptozocin",0,1
"sulfamethizole",0,1
"phenazopyridine",0,1
"leflunomide",0,1
"podophyllotoxin",0,1
"metoprolol",0,1
"demeclocycline",0,1
"cloperastine",0,1
"flunixin",0,1
"eucatropine",0,1
"flecainide",0,1
"ethoxyquin",0,1
"tinidazole",0,1
"guaifenesin",0,1
"atractyloside",0,1
"guanadrel",0,1
"alexidine",0,1
"sulfadimethoxine",0,1
"calcium folinate",0,1
"vidarabine",0,1
"proadifen",0,1
"zomepirac",0,1
"drofenine",0,1
"hecogenin",0,1
"mevalolactone",0,1
"isopropamide iodide",0,1
"cinoxacin",0,1
"amrinone",0,1
"carbinoxamine",0,1
"bergenin",0,1
"securinine",0,1
"iopamidol",0,1
"methazolamide",0,1
"clidinium bromide",0,1
"cefoxitin",0,1
"alimemazine",0,1
"DL-thiorphan",0,1
"alpha-yohimbine",0,1
"mycophenolic acid",0,1
"harmalol",0,1
"pronetalol",0,1
"meptazinol",0,1
"etamsylate",0,1
"letrozole",0,1
"tracazolate",0,1
"cefalonium",0,1
"moxonidine",0,1
"Prestwick-967",0,1
"zardaverine",0,1
"fluticasone",0,1
"fursultiamine",0,1
"etilefrine",0,1
"zalcitabine",0,1
"harpagoside",0,1
"zuclopenthixol",0,1
"alprostadil",0,1
"methyldopate",0,1
"3-acetamidocoumarin",0,1
"pivampicillin",0,1
"piribedil",0,1
"talampicillin",0,1
"rimexolone",0,1
"moracizine",0,1
"S-propranolol",0,1
"netilmicin",0,1
"ioxaglic acid",0,1
"procarbazine",0,1
"penbutolol",0,1
"naftifine",0,1
"Prestwick-1103",0,1
"viomycin",0,1
"etidronic acid",0,1
"theophylline",0,1
"cefsulodin",0,1
"benzthiazide",0,1
"procyclidine",0,1
"fosfosal",0,1
"trichlormethiazide",0,1
"tetroquinone",0,1
"amiprilose",0,1
"beclometasone",0,1
"suprofen",0,1
"oxolamine",0,1
"indoprofen",0,1
"mestranol",0,1
"tolmetin",0,1
"chloropyramine",0,1
"propantheline bromide",0,1
"levobunolol",0,1
"Prestwick-857",0,1
"paromomycin",0,1
"scopolamine",0,1
"furazolidone",0,1
"nadolol",0,1
"lasalocid",0,1
"paracetamol",0,1
"rolitetracycline",0,1
"phthalylsulfathiazole",0,1
"capsaicin",0,1
"sulconazole",0,1
"ethaverine",0,1
"profenamine",0,1
"nicotinic acid",0,1
"3-acetylcoumarin",0,1
"hymecromone",0,1
"(+)-isoprenaline",0,1
"nizatidine",0,1
"propofol",0,1
"monobenzone",0,1
"bretylium tosilate",0,1
"felbinac",0,1
"2-aminobenzenesulfonamide",0,1
"xamoterol",0,1
"(-)-atenolol",0,1
"butyl hydroxybenzoate",0,1
"metyrapone",0,1
"estrone",0,1
"rolipram",0,1
"flucytosine",0,1
"cantharidin",0,1
"aminohippuric acid",0,1
"lorglumide",0,1
"tonzonium bromide",0,1
"terguride",0,1
"fluspirilene",0,1
"bephenium hydroxynaphthoate",0,1
"megestrol",0,1
"pipemidic acid",0,1
"flurbiprofen",0,1
"desoxycortone",0,1
"dioxybenzone",0,1
"etynodiol",0,1
"nimodipine",0,1
"nilutamide",0,1
"ursodeoxycholic acid",0,1
"chrysin",0,1
"nabumetone",0,1
"bacitracin",0,1
"adipiodone",0,1
"proxyphylline",0,1
"atropine methonitrate",0,1
"Prestwick-920",0,1
"protriptyline",0,1
"aminocaproic acid",0,1
"denatonium benzoate",0,1
"Prestwick-981",0,1
"flucloxacillin",0,1
"isradipine",0,1
"halofantrine",0,1
"scopoletin",0,1
"Prestwick-972",0,1
"rilmenidine",0,1
"alfaxalone",0,1
"trapidil",0,1
"enilconazole",0,1
"Prestwick-983",0,1
"ribavirin",0,1
"azapropazone",0,1
"isometheptene",0,1
"clofilium tosylate",0,1
"quinidine",0,1
"lidoflazine",0,1
"mitoxantrone",0,1
"hydrocortisone",0,1
"doxorubicin",0,1
"methoxsalen",0,1
"azacitidine",0,1
"fluocinonide",0,1
"piperacillin",0,1
"cefamandole",0,1
"levomepromazine",0,1
"dienestrol",0,1
"cromoglicic acid",0,1
"mecamylamine",0,1
"Prestwick-1082",0,1
"prednicarbate",0,1
"cyproterone",0,1
"sertaconazole",0,1
"piperidolate",0,1
"milrinone",0,1
"dexpropranolol",0,1
"Prestwick-1085",0,1
"repaglinide",0,1
"trifluridine",0,1
"methanthelinium bromide",0,1
"estriol",0,1
"meropenem",0,1
"oxprenolol",0,1
"tropine",0,1
"chloropyrazine",0,1
"(-)-isoprenaline",0,1
"ramipril",0,1
"azaperone",0,1
"thiethylperazine",0,1
"oxedrine",0,1
"kaempferol",0,1
"cefepime",0,1
"0179445-0000",0,1
"0175029-0000",0,1
"0317956-0000",0,1
"chlorambucil",0,1
"levcycloserine",0,1
"Prestwick-1080",0,1
"homosalate",0,1
"Prestwick-1100",0,1
"parbendazole",0,1
"ciclacillin",0,1
"2,6-dimethylpiperidine",0,1
"spiradoline",0,1
"citalopram",0,1
"CP-690334-01",0,1
"PHA-00745360",0,1
"rifabutin",0,1
"clobetasol",0,1
"rotenone",0,1
"pioglitazone",0,1
"PF-00539745-00",0,1
"PF-01378883-00",0,1
"erastin",0,1
"3-nitropropionic acid",0,1
"PF-00539758-00",0,1
"STOCK1N-35215",0,1
"0225151-0000",0,1
"C-75",0,1
"5155877",0,1
"PHA-00767505E",0,1
"dinoprostone",0,1
"5194442",0,1
"AG-028671",0,1
"Gly-His-Lys",0,1
"16,16-dimethylprostaglandin E2",0,1
"STOCK1N-28457",0,1
"SC-560",0,1
"H-89",0,1
"BAS-012416453",0,1
"carmustine",0,1
"lomustine",0,1
"AH-6809",0,1
"alsterpaullone",0,1
"0316684-0000",0,1
"thapsigargin",0,1
"SC-19220",0,1
"GW-8510",0,1
"AR-A014418",0,1
"CAY-10397",0,1
"PHA-00816795",0,1
"suramin sodium",0,1
"irinotecan",0,1
"meteneprost",0,1
"16-phenyltetranorprostaglandin E2",0,1
"BCB000039",0,1
"11-deoxy-16,16-dimethylprostaglandin E2",0,1
